Bezirk,2014,Anteil
City,1649,17
Westfalenhalle,1537,10
Dorstfelder Bruecke,1863,15
Dorstfeld,1893,12
Hafen,2711,15
Nordmarkt,4274,16
Borsigplatz,1905,16
Kaiserbrunnen,2691,11
Westfalendamm,1214,7
Ruhrallee,1308,11
Brechten,671,7
Eving,2547,12
Holthausen,28,7
Lindenhorst,715,12
Derne,630,10
Hostedde,174,8
Kirchderne,359,9
Kurl-Husen,622,8
Lanstrop,334,9
Alt-Scharnhorst,725,9
Scharnhorst-Ost,1147,9
Asseln,716,8
Brackel,1747,8
Wambel,692,9
Wickede,1386,9
Aplerbeck,1646,8
Berghofen,828,7
Schueren,720,7
Soelde,430,8
Soelderholz,462,8
Benninghofen,590,7
Hacheney,182,11
Hoerde,2377,10
Holzen,566,6
Syburg,77,5
Wellinghofen,533,7
Wichlinghofen,175,7
Barop,807,11
Bittermark,180,7
Bruenninghausen,289,7
Eichlinghofen,2261,26
Hombruch,1077,9
Persebeck-Kruckel-Schnee,294,7
Kirchhoerde-Luettringhausen,631,7
Rombergpark-Luecklemberg,317,6
Menglinghausen,269,9
Boevinghausen,531,10
Kley,395,12
Luetgendortmund,2337,10
Marten,1068,11
Oespel,423,10
Westrich,212,8
Deusen,196,11
Huckarde,1831,11
Jungferntal-Rahm,540,9
Kirchlinde,1088,10
Bodelschwingh,632,9
Mengede,1146,10
Nette,598,10
Oestrich,595,10
Schwieringhausen,76,9
Westerfilde,740,11
